1272,DetailedMaxSpeed,Workouts,Epoch,"The detailed activity's max speed, in meters per second",meters per second,DOUBLE,,,,,,,checked,,,,,,,,,,,,
1273,DetailedPace,Workouts,Epoch,"The detailed activity's average pace, in minutes per kilometer",minutes per kilometer,DOUBLE,,,,,,,,,,,,,,,,,,,
1274,DetailedMaxPace,Workouts,Epoch,"The detailed activity's max pace, in minutes per kilometer",minutes per kilometer,DOUBLE,,,,,,,,,,,,,,,,,,,
1275,DetailedPowerInWatts,Workouts,Epoch,Detailed Watts produced during training,watts,DOUBLE,,,,,,,checked,,,,,,,,,,,,
1280,WalkingAssymetry,Movement Analysis,Epoch,Percentage of steps in which one foot moves at a different speed than the other,percent,DOUBLE,,,,checked,,,,,,,,,,,,,,,
1281,DoubleSupportTime,Movement Analysis,Epoch,Percentage of time during a walk when both feet are on the ground,percent,DOUBLE,,,,checked,,,,,,,,,,,,,,,
1282,SixMinuteWalkingTestDistance,Movement Analysis,Epoch,Distance a user can walk during a six-minute walk test in meters,meters,DOUBLE,,,,checked,,,,,,,,,,,,,,,
1283,SwimmingStrokeCount,Workouts,Epoch,The number of strokes performed while swimming,count,LONG,,,,checked,,,,,,,,,,,,,,,
1401,Latitude,Location & GPS,Daily,dominant latitude geo location in this day,,DOUBLE,,,,,,,,,,,,,,,checked,,,,
1401,Latitude,Location & GPS,Epoch,detected latitude geo location (in this timeframe),,DOUBLE,,,,,,,checked,,,checked,,,,,checked,,,,
1402,Longitude,Location & GPS,Epoch,detected longitude geo location (in this timeframe),,DOUBLE,,,,,,,checked,,,checked,,,,,checked,,,,
1402,Longitude,Location & GPS,Daily,dominant longitude geo location in this day,,DOUBLE,,,,,,,,,,,,,,,checked,,,,
1715,CoveredDistanceWalk,Activity,Epoch,covered distance from recorded walking activity in meters,meters,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,checked,checked,,checked,,
1715,CoveredDistanceWalk,Activity,Daily,sum of covered distance (including the manually added distance) from recorded walking activity in meters,meters,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,,,,,,
1716,CoveredDistanceRun,"Activity, Workouts",Epoch,covered distance from recorded running activity in meters,meters,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,checked,checked,,checked,,
1716,CoveredDistanceRun,"Activity, Workouts",Daily,sum of covered distance (including the manually added distance) from recorded running activity in meters,meters,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,,,,,,
1717,CoveredDistanceBike,"Activity, Workouts",Daily,sum of covered distance (including the manually added distance) from recorded biking/cycling activity in meters,meters,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,,,,,,
1717,CoveredDistanceBike,"Activity, Workouts",Epoch,covered distance from recorded biking/cycling activity in meters,meters,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,checked,checked,,checked,,
1725,CoveredDistanceWalkManual,Activity,Daily,sum of covered distance from manually added walking activity in meters,meters,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,,,,,,
1725,CoveredDistanceWalkManual,Activity,Epoch,covered distance from manually added walking activity in meters,meters,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,,,,,,
1726,CoveredDistanceRunManual,"Activity, Workouts",Epoch,covered distance from manually added running activity in meters,meters,DOUBLE,checked,checked,checked,checked,checked,checked,checked,checked,,checked,,,,,,,,,
